Supplier,Recipient,Ordered,Weapon model,Weapon category,Ordered year,Delivered year,Delivered num.,Comments,latS,longS,codeS,latR,longR,codeR
Austria,Bolivia,9,DA40,Light aircraft,(2009),2010,9,$4 m deal | for training | supplier could be Canada,47.516231,14.550072,AUT,-16.290154,-63.588653,BOL
Austria,Botswana,20,SK-105 Kurassier,Light tank,1997,2000,20,Part of ASH500 m deal | option on 30 more not used,47.516231,14.550072,AUT,-22.328474,24.684866,BWA
Austria,Botswana,2,4K-7FA,APC,2000,2000,2,Part of ASH500 m deal | CP version,47.516231,14.550072,AUT,-22.328474,24.684866,BWA
Austria,Brazil,1,Greif,ARV,2000,2001,1,,47.516231,14.550072,AUT,-14.235004,-51.92528,BRA
Austria,Brazil,17,SK-105 Kurassier,Light tank,2000,2001,17,,47.516231,14.550072,AUT,-14.235004,-51.92528,BRA
Austria,Burkina Faso,1,DA42MPP,Reconnaissance ac,(2015),2016,(1),,47.516231,14.550072,AUT,12.238333,-1.561593,BFA
Austria,Czechia,107,Pandur-2,APC,2009,2009-2013,(107),CZK14.4 b ($650 m | offsets 150% incl assembly of 90 in Czech Republic) deal | incl 11 command post 4 ARV and 4 ambulance version,47.516231,14.550072,AUT,49.817492,15.472962,CZE
Austria,Egypt,(4),Camcopter S-100,UAV,2001,2002,(4),Financed by US FMF aid,47.516231,14.550072,AUT,26.820553,30.802498,EGY
Austria,Egypt,108,M-60A1 Patton-2,Tank,2001,2002,108,Second-hand | $27 m deal,47.516231,14.550072,AUT,26.820553,30.802498,EGY
Austria,France,12,M-16,Diesel engine,1999,2000,12,For 12 Bv-206S APC from Sweden,47.516231,14.550072,AUT,46.227638,2.213749,FRA
Austria,France,2,A-340,Transport aircraft,2005,2006-2007,(2),Second-hand | TLRA programme | 5-9-year lease (with option to buy) via French and Portugese company | A-340-211 version,47.516231,14.550072,AUT,46.227638,2.213749,FRA
Austria,France,1,Camcopter S-100,UAV,(2011),2012,1,,47.516231,14.550072,AUT,46.227638,2.213749,FRA
Austria,Gabon,(1),Pandur,APC,(2003),2004,1,,47.516231,14.550072,AUT,-0.803689,11.609444,GAB
Austria,Germany,31,M-16,Diesel engine,2002,2003-2004,31,For 31 Bv-206S APC from Sweden,47.516231,14.550072,AUT,51.165691,10.451526,DEU
Austria,Germany,81,M-16,Diesel engine,2005,2007-2009,(81),For 81 Bv-206S APC from Sweden,47.516231,14.550072,AUT,51.165691,10.451526,DEU
Austria,Germany,75,M-16,Diesel engine,2005,2005-2007,(75),For 75 Bv-206S APC from Sweden,47.516231,14.550072,AUT,51.165691,10.451526,DEU
Austria,Ghana,2,DA42MPP,Reconnaissance ac,(2011),2011,2,EUR11.8 m deal,47.516231,14.550072,AUT,7.946527,-1.023194,GHA
Austria,Ghana,(3),DA42MPP,Reconnaissance ac,(2012),2012,3,Incl 2 for maritime patrol,47.516231,14.550072,AUT,7.946527,-1.023194,GHA
Austria,Indonesia,3,Pandur-2,APC,2016,2017,(3),Probably from Czech production line,47.516231,14.550072,AUT,-0.789275,113.921327,IDN
Austria,Indonesia,1,Pandur-2 FSV,AFSV,2016,2017,(1),From Czech production line,47.516231,14.550072,AUT,-0.789275,113.921327,IDN
Austria,Italy,2,M-16,Diesel engine,2000,2001,2,For 2 Bv-206S APC from Sweden,47.516231,14.550072,AUT,41.87194,12.56738,ITA
Austria,Italy,146,M-16,Diesel engine,2003,2005-2010,(146),For 146 Bv-206S APC from Sweden,47.516231,14.550072,AUT,41.87194,12.56738,ITA
Austria,Jamaica,2,DA42,Light aircraft,(2011),2013,2,DA-42NG version | for training,47.516231,14.550072,AUT,18.109581,-77.297508,JAM
Austria,Jamaica,4,DA40,Light aircraft,2017,,,,47.516231,14.550072,AUT,18.109581,-77.297508,JAM
Austria,Jordan,12,Camcopter S-100,UAV,2010,2011-2012,(12),,47.516231,14.550072,AUT,30.585164,36.238414,JOR
Austria,Kuwait,(40),Pandur,APC,1996,1997-1999,(40),Part of $170 m deal | from US production line | for National Guard | CP 81mm mortar carrier ARV and ambulance versions | option on more not used,47.516231,14.550072,AUT,29.31166,47.481766,KWT
Austria,Kuwait,(30),Pandur,IFV,1996,1998-1999,(30),Part of $170 m deal | from US production line | for National Guard | IFV (25mm) and AFSV (90mm) versions | option on more not used,47.516231,14.550072,AUT,29.31166,47.481766,KWT
Austria,Kuwait,(20),M-14,Diesel engine,2008,2009,(20),For 20 VBL APV from France,47.516231,14.550072,AUT,29.31166,47.481766,KWT
Austria,Kuwait,(56),Pandur,IFV,2010,2013-2014,(56),,47.516231,14.550072,AUT,29.31166,47.481766,KWT
Austria,Kuwait,(24),Pandur,APC,2010,2013-2014,(24),,47.516231,14.550072,AUT,29.31166,47.481766,KWT
Austria,Latvia,47,M-109A5 155mm,Self-propelled gun,2017,2017-2018,(47),Second-hand,47.516231,14.550072,AUT,56.879635,24.603189,LVA
Austria,Libya,4,Camcopter S-100,UAV,2009,2011,4,,47.516231,14.550072,AUT,26.3351,17.228331,LBY
Austria,Montenegro,(4),Survivor-2,APC,2014,2015,(4),,47.516231,14.550072,AUT,42.708678,19.37439,MNE
Austria,Myanmar,(5),Camcopter S-100,UAV,2017,2018,(5),EUR87 m deal,47.516231,14.550072,AUT,21.913965,95.956223,MMR
Austria,Niger,2,DA42MPP,Reconnaissance ac,(2008),2008,2,,47.516231,14.550072,AUT,17.607789,8.081666,NER
Austria,Nigeria,(1),DA42MPP,Reconnaissance ac,(2011),2012,(1),,47.516231,14.550072,AUT,9.081999,8.675277,NGA
Austria,Nigeria,(5),DA40,Light aircraft,(2016),2017,(5),For training,47.516231,14.550072,AUT,9.081999,8.675277,NGA
Austria,OSCE**,(6),Camcopter S-100,UAV,2014,2014-2015,(6),For OSCE observation misison in eastern Ukraine,47.516231,14.550072,AUT,48.210033,16.363449,OSC
Austria,Poland,5,DA20,Light aircraft,2012,2013,(5),For training,47.516231,14.550072,AUT,51.919438,19.145136,POL
Austria,Saudi Arabia,(5),CG-45 155mm,Towed gun,1989,1990,(5),Original order for 50 | rest cancelled after withdrawal of export licence in 1990,47.516231,14.550072,AUT,23.885942,45.079162,SAU
Austria,Saudi Arabia,(37),M12 120mm,Mortar,(2008),2010,37,,47.516231,14.550072,AUT,23.885942,45.079162,SAU
Austria,Spain,20,M-16,Diesel engine,2000,2002-2004,(20),For 20 Bv-206S APC from Sweden,47.516231,14.550072,AUT,40.463667,-3.74922,ESP
Austria,Sweden,8,Bell-204B/UH-1B,Helicopter,1990,1990,(8),Second-hand | AB-204B version | Swedish designation Hkp-3B,47.516231,14.550072,AUT,60.128161,18.643501,SWE
Austria,Sweden,15,M-16,Diesel engine,2001,2003,(15),For 15 Bv-206S APC produced in Sweden,47.516231,14.550072,AUT,60.128161,18.643501,SWE
